,TransactionNo,Items,DateTime,Daypart,DayType,date,time,location
0,1,Bread,2016-10-30 09:58:11,Morning,Weekend,2016-10-30,09:58:11,Plattling
1,2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,2016-10-30,10:05:34,Plattling
2,2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,2016-10-30,10:05:34,Wallersdorf
3,3,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend,2016-10-30,10:07:57,Deggendorf
4,3,Jam,2016-10-30 10:07:57,Morning,Weekend,2016-10-30,10:07:57,Wallersdorf
5,3,Cookies,2016-10-30 10:07:57,Morning,Weekend,2016-10-30,10:07:57,Deggendorf
6,4,Muffin,2016-10-30 10:08:41,Morning,Weekend,2016-10-30,10:08:41,Wallersdorf
7,5,Coffee,2016-10-30 10:13:03,Morning,Weekend,2016-10-30,10:13:03,Wallersdorf
8,5,Pastry,2016-10-30 10:13:03,Morning,Weekend,2016-10-30,10:13:03,Wallersdorf
9,5,Bread,2016-10-30 10:13:03,Morning,Weekend,2016-10-30,10:13:03,Deggendorf
10,6,Medialuna,2016-10-30 10:16:55,Morning,Weekend,2016-10-30,10:16:55,Wallersdorf
11,6,Pastry,2016-10-30 10:16:55,Morning,Weekend,2016-10-30,10:16:55,Wallersdorf
12,6,Muffin,2016-10-30 10:16:55,Morning,Weekend,2016-10-30,10:16:55,Wallersdorf
13,7,Medialuna,2016-10-30 10:19:12,Morning,Weekend,2016-10-30,10:19:12,Wallersdorf
14,7,Pastry,2016-10-30 10:19:12,Morning,Weekend,2016-10-30,10:19:12,Plattling
15,7,Coffee,2016-10-30 10:19:12,Morning,Weekend,2016-10-30,10:19:12,Plattling
16,7,Tea,2016-10-30 10:19:12,Morning,Weekend,2016-10-30,10:19:12,Plattling
17,8,Pastry,2016-10-30 10:20:51,Morning,Weekend,2016-10-30,10:20:51,Deggendorf
18,8,Bread,2016-10-30 10:20:51,Morning,Weekend,2016-10-30,10:20:51,Deggendorf
19,9,Bread,2016-10-30 10:21:59,Morning,Weekend,2016-10-30,10:21:59,Deggendorf
20,9,Muffin,2016-10-30 10:21:59,Morning,Weekend,2016-10-30,10:21:59,Wallersdorf
21,10,Scandinavian,2016-10-30 10:25:58,Morning,Weekend,2016-10-30,10:25:58,Deggendorf
22,10,Medialuna,2016-10-30 10:25:58,Morning,Weekend,2016-10-30,10:25:58,Deggendorf
23,11,Bread,2016-10-30 10:27:21,Morning,Weekend,2016-10-30,10:27:21,Wallersdorf
24,11,Medialuna,2016-10-30 10:27:21,Morning,Weekend,2016-10-30,10:27:21,Plattling
25,11,Bread,2016-10-30 10:27:21,Morning,Weekend,2016-10-30,10:27:21,Deggendorf
26,12,Jam,2016-10-30 10:30:14,Morning,Weekend,2016-10-30,10:30:14,Wallersdorf
27,12,Coffee,2016-10-30 10:30:14,Morning,Weekend,2016-10-30,10:30:14,Wallersdorf
28,12,Tartine,2016-10-30 10:30:14,Morning,Weekend,2016-10-30,10:30:14,Plattling
29,12,Pastry,2016-10-30 10:30:14,Morning,Weekend,2016-10-30,10:30:14,Deggendorf
30,12,Tea,2016-10-30 10:30:14,Morning,Weekend,2016-10-30,10:30:14,Deggendorf
31,13,Basket,2016-10-30 10:31:24,Morning,Weekend,2016-10-30,10:31:24,Plattling
